AA799301_PROBE1	AA799301	Lgtn protein (DBSS)
AA799796_PROBE1	AA799796	AF-10 protein (DBSS)
AA799832_PROBE1	AA799832	phosphoglucomutase 5 (DBSS)
AA799981_PROBE1	AA799981	protein kinase C, eta
AA799993_PROBE1	AA799993	interleukin 16
AA800001_PROBE1	AA800001	Prostatic spermine-binding protein precursor (SBP) (Rn.) (DBSS_weak)
AA800004_PROBE1	AA800004	H5 (DBSS)
AA800010_PROBE1	AA800010	mitochondrial ribosomal protein L41 (DBSS)
AA800025_PROBE1	AA800025	chromosome 20 open reading frame 163; neuralized-like 2 (DBSS)
AA800029_PROBE1	AA800029	MYC binding protein 2
AA800044_PROBE1	AA800044	ESTs
AA800046_PROBE1	AA800046	Ubiquinone biosynthesis protein COQ4 homolog (Coenzyme Q biosynthesis protein 4 homolog) (CGI-92) (DBSS)
AA800062_PROBE1	AA800062	N-acylsphingosine amidohydrolase (acid ceramidase)
AA800172_PROBE1	AA800172	RIKEN cDNA 1810059G22 (DBSS)
AA800184_PROBE1	AA800184	ubiquitin specific protease 15 (Hs.) (DBSS)
AA800191_PROBE1	AA800191	Coatomer zeta-1 subunit (Zeta-1 coat protein) (Zeta-1 COP) (CGI-120) (HSPC181) (DBSS)
AA800199_PROBE1	AA800199	B39066 proline-rich protein 15 (Rn.) (DBSS_weak)
AA800210_PROBE1	AA800210	casein kinase II, alpha 1 polypeptide
AA800222_PROBE1	AA800222	autocrine motility factor receptor (DBSS)
AA800232_PROBE1	AA800232	nuclear receptor binding protein (Hs.) (DBSS)
AA800241_PROBE1	AA800241	glutamate transporter EAAC1 interacting protein
AA800249_PROBE1	AA800249	sarcomeric protein myopalladin, 145 kDa (Hs.) (DBSS_strong)
AA800258_PROBE1	AA800258	ldlBp (DBSS)
AA800260_PROBE1	AA800260	hypothetical LOC289313
AA800273_PROBE1	AA800273	protein phosphatase 1, regulatory (inhibitor) subunit 5; Phosphatase 1, regulatory inhibitor subunit 5 (DBSS)
AA800277_PROBE1	AA800277	AP-4 adaptor complex sigma4 subunit (DBSS)
AA800290_PROBE1	AA800290	ESTs (Non-specific probe)
AA800291_PROBE1	AA800291	guanylate kinase (DBSS)
AA800292_PROBE1	AA800292	hypothetical protein MGC12966 (Hs.) (DBSS)
AA800327_PROBE1	AA800327	CG18437-PA (DBSS)
AA800341_PROBE1	AA800341	KIAA1630 protein (DBSS)
AA800364_PROBE1	AA800364	Protein CGI-140 (Protein PTD008) (My006 protein) (DBSS)
AA800382_PROBE1	AA800382	ESTs
AA800389_PROBE1	AA800389	zinc finger protein 189 (DBSS)
AA800429_PROBE1	AA800429	ESTs
AA800455_PROBE1	AA800455	DnaJ (Hsp40) homolog, subfamily D, member 1 (DBSS)
AA800476_PROBE1	AA800476	DKFZP586A0522 protein (DBSS)
AA800483_PROBE1	AA800483	C1q C chain (DBSS)
AA800501_PROBE1	AA800501	ubiquitin-conjugating enzyme E2Q (DBSS)
AA800507_PROBE1	AA800507	ESTs
AA800519_PROBE1	AA800519	dolichyl-phosphate (UDP-N-acetylglucosamine) N-acetylglucosaminephosphotransferase 1 (GlcNAc-1-P transferase) (Hs.) (DBSS)
AA800521_PROBE1	AA800521	hypothetical protein FLJ10241 (DBSS)
AA800535_PROBE1	AA800535	zinc finger, DHHC domain containing 3
AA800539_PROBE1	AA800539	chromosome 6 open reading frame 196 (Hs.) (DBSS_strong)
AA800570_PROBE1	AA800570	clone IMAGE:4236573 (Mm.) (DBSS)
AA800576_PROBE1	AA800576	crystallin, alpha A (Hs.) (DBSS)
AA800587_PROBE1	AA800587	glutathione peroxidase 2
AA800597_PROBE1	AA800597	ESTs
AA800637_PROBE1	AA800637	CCR4-NOT transcription complex, subunit 2; NOT2 (negative regulator of transcription 2, yeast) homolog (DBSS)
AA800665_PROBE1	AA800665	secretory carrier membrane protein 2
AA800680_PROBE1	AA800680	smooth muscle myosin phosphatase regulatory subunit homolog family member, Maternal Effect Lethal MEL-11 (110.6 kD) (mel-11) (DBSS)
AA800689_PROBE1	AA800689	ESTs
AA800699_PROBE1	AA800699	1110065L07Rik protein (DBSS)
AA800701_PROBE1	AA800701	limb-bud and heart (Mm.) (DBSS)
AA800708_PROBE1	AA800708	ESTs
AA800719_PROBE1	AA800719	ESTs
AA800737_PROBE1	AA800737	Plakophilin 4 (p0071) (DBSS)
AA800739_PROBE1	AA800739	RIKEN cDNA 1110001A12 gene (Mm.) (DBSS_moderate)
AA800744_PROBE1	AA800744	calcitonin receptor-like
AA800763_PROBE1	AA800763	ESTs
AA800782_PROBE1	AA800782	ESTs
AA800803_PROBE1	AA800803	RIKEN cDNA 6720485C15 (DBSS)
AA800815_PROBE1	AA800815	brain specific binding protein
AA801094_PROBE1	AA801094	Histone-lysine N-methyltransferase, H4 lysine-20 specific (Histone H4-K20 methyltransferase) (PR-Set7) (DBSS)
AA801116_PROBE1	AA801116	ESTs
AA801133_PROBE1	AA801133	ESTs
AA801136_PROBE1	AA801136	hypothetical protein FLJ38426 (DBSS)
AA801139_PROBE1	AA801139	sin3 associated polypeptide (Mm.) (DBSS_strong)
AA801173_PROBE1	AA801173	regulator of G-protein signalling 10
AA801206_PROBE1	AA801206	ESTs
AA801208_PROBE1	AA801208	ESTs
AA801212_PROBE1	AA801212	ESTs
AA801218_PROBE1	AA801218	ESTs
AA801220_PROBE1	AA801220	castration induced prostatic apoptosis-related protein 1
AA801230_PROBE1	AA801230	IMP4 (DBSS) (Non-specific probe)
AA801244_PROBE1	AA801244	ESTs
AA801308_PROBE1	AA801308	erythroid differentiation-related factor 1 (DBSS)
AA801331_PROBE1	AA801331	ESTs
AA801434_PROBE1	AA801434	expressed sequence C77080 (Mm.) (DBSS_moderate)
AA817722_PROBE1	AA817722	catenin (cadherin-associated protein), alpha 1, 102kDa
AA817752_PROBE1	AA817752	sorting nexin 2 (DBSS)
AA817759_PROBE1	AA817759	peroxisomal Ca-dependent solute carrier-like protein
AA817769_PROBE1	AA817769	ESTs
AA817798_PROBE1	AA817798	similar to KIAA1064 protein(Rn.) (DBSS_weak)
AA817802_PROBE1	AA817802	ESTs
AA817812_PROBE1	AA817812	cerebellin 2 precursor protein (Mm.) (DBSS)
AA817813_PROBE1	AA817813	musashi homolog 2 (Drosophila) (Hs.) (DBSS)
AA817817_PROBE1	AA817817	RIKEN cDNA 5530601I19 (DBSS)
AA817836_PROBE1	AA817836	putative NFkB activating protein 373 (Hs.) (DBSS_strong)
AA817841_PROBE1	AA817841	ESTs
AA817863_PROBE1	AA817863	axonemal dynein heavy chain 7 (DBSS)
AA817867_PROBE1	AA817867	hexosaminidase A
AA817877_PROBE1	AA817877	membrane protein, palmitoylated 2 (MAGUK p55 subfamily member 2) (Mm.) (DBSS)
AA817895_PROBE1	AA817895	sorting nexin 14 isoform a (DBSS)
AA817907_PROBE1	AA817907	cell division cycle 2 homolog (S.pombe)-like 1
AA817945_PROBE1	AA817945	Tubulin-specific chaperone A (Tubulin-folding cofactor A) (Mm.) (DBSS_strong)
AA817968_PROBE1	AA817968	ectonucleotide pyrophosphatase/phosphodiesterase 1
AA818020_PROBE1	AA818020	hypothetical protein MGC33214 (DBSS)
AA818089_PROBE1	AA818089	Glycyl-tRNA synthetase (DBSS)
AA818113_PROBE1	AA818113	RIKEN cDNA 2610318G18 (DBSS)
AA818116_PROBE1	AA818116	ESTs
AA818120_PROBE1	AA818120	sarcolipin (DBSS)
AA818128_PROBE1	AA818128	F-box only protein 11
AA818132_PROBE1	AA818132	ESTs
AA818183_PROBE1	AA818183	DNA-directed RNA polymerase I 40 kDa polypeptide (RPA40) (DBSS)
AA818184_PROBE1	AA818184	similar to Eukaryotic translation initiation factor 1A, X-chromosomal (eIF-1A X isoform) (eIF-4C) (Rn.) (DBSS_weak)
AA818197_PROBE1	AA818197	protein Tyr phosphatase
AA818203_PROBE1	AA818203	RIKEN cDNA 1110021N07 (DBSS)
AA818342_PROBE1	AA818342	ESTs
AA818353_PROBE1	AA818353	death-associated protein kinase 1 (Hs.) (DBSS)
AA818364_PROBE1	AA818364	RIKEN cDNA 2410008M22 (DBSS)
AA818377_PROBE1	AA818377	zinc finger protein 385; hematopoietic zinc finger (DBSS)
AA818392_PROBE1	AA818392	TNF-induced protein (Hs.) (DBSS)
AA818421_PROBE1	AA818421	chromatin remodeling factor WCRF180 (DBSS)
AA818425_PROBE1	AA818425	hypothetical protein (Mm.) (DBSS)
AA818438_PROBE1	AA818438	hypothetical protein FLJ90013 (DBSS)
AA818471_PROBE1	AA818471	zinc transporter 5 (DBSS)
AA818520_PROBE1	AA818520	up-regulated gene 4 (DBSS)
AA818571_PROBE1	AA818571	ESTs
AA818582_PROBE1	AA818582	Muf1-pending protein (DBSS)
AA818602_PROBE1	AA818602	ESTs
AA818643_PROBE1	AA818643	ESTs
AA818692_PROBE1	AA818692	mitochondrial ribosomal protein L33 (Mm.) (DBSS_strong)
AA818743_PROBE1	AA818743	bullous pemphigoid antigen 1-b (DBSS)
AA818759_PROBE1	AA818759	LOC361083
AA818796_PROBE1	AA818796	SPI6 (DBSS)
AA818820_PROBE1	AA818820	ADP-ribosylation factor GTPase activating protein 1
AA818892_PROBE1	AA818892	Ac1164 (DBSS)
AA818910_PROBE1	AA818910	hypothetical protein CLONE24945 (DBSS)
AA818914_PROBE1	AA818914	RNaseP protein p30 (DBSS)
AA818947_PROBE1	AA818947	sterile alpha motif and leucine zipper containing kinase AZK (Hs.) (DBSS)
AA818949_PROBE1	AA818949	DnaJ (Hsp40) homolog, subfamily B, member 12 (DBSS)
AA818952_PROBE1	AA818952	myomegalin
AA818954_PROBE1	AA818954	ESTs
AA818999_PROBE1	AA818999	muscleblind-like protein 2 isoform 1; muscleblind-like protein MBLL39 (DBSS)
AA819086_PROBE1	AA819086	ESTs
AA819103_PROBE1	AA819103	phosphofructokinase, liver, B-type
AA819234_PROBE1	AA819234	ESTs
AA819268_PROBE1	AA819268	phosphatidylinositol 3-kinase, regulatory subunit, polypeptide 1
AA819306_PROBE1	AA819306	transcriptional co-activator with PDZ-binding motif (TAZ) (Hs.) (DBSS)
AA819316_PROBE1	AA819316	flavoprotein oxidoreductase MICAL2 (DBSS)
AA819318_PROBE1	AA819318	transcription factor-like 1 (DBSS)
AA819339_PROBE1	AA819339	leubrin/leucine-rich glioma inactivated 1-like protein (DBSS)
AA819398_PROBE1	AA819398	BCL2/adenovirus E1B 19kD interacting protein 1
AA819400_PROBE1	AA819400	chromosome 20 open reading frame 14 (Hs.) (DBSS_strong)
AA819481_PROBE1	AA819481	ESTs
AA819488_PROBE1	AA819488	ALG-2 (DBSS)
AA819501_PROBE1	AA819501	ribosomal protein S27-like (DBSS)
AA819679_PROBE1	AA819679	B aggressive lymphoma (DBSS)
AA819694_PROBE1	AA819694	RIKEN cDNA 2900009I07 (DBSS)
AA819716_PROBE1	AA819716	synaptojanin 1
AA819729_PROBE1	AA819729	nucleotide-binding protein long form (DBSS)
AA819812_PROBE1	AA819812	mitogen-activated protein kinase kinase kinase kinase 3
AA819832_PROBE1	AA819832	period homolog 1 (Drosophila)
AA819871_PROBE1	AA819871	CDC16 homolog; cell division cycle 16; anaphase-promoting complex, subunit 6 (DBSS)
AA848305_PROBE1	AA848305	RAP1B, member of RAS oncogene family
AA848311_PROBE1	AA848311	ESTs
AA848321_PROBE1	AA848321	hypothetical protein D10Ertd718e (DBSS)
AA848338_PROBE1	AA848338	contains transmembrane (TM) region and ATP binding region (DBSS)
AA848342_PROBE1	AA848342	TAF11 RNA polymerase II, TATA box binding protein (TBP)-associated factor (DBSS)
AA848355_PROBE1	AA848355	RIKEN cDNA 1300013D05 (DBSS) (Non-specific probe)
AA848357_PROBE1	AA848357	p53 apoptosis-associated target (DBSS)
AA848367_PROBE1	AA848367	hypertrophic agonist responsive protein
AA848420_PROBE1	AA848420	uracil-DNA gylcosylase (DBSS)
AA848437_PROBE1	AA848437	ESTs
AA848451_PROBE1	AA848451	RIKEN cDNA 4933428G09 (DBSS)
AA848470_PROBE1	AA848470	DNA segment, Chr 1, ERATO Doi 578, expressed (DBSS)
AA848499_PROBE1	AA848499	ESTs
AA848501_PROBE1	AA848501	Ribosome-binding protein 1 (Ribosome receptor protein) (mRRp) (DBSS)
AA848503_PROBE1	AA848503	ARV1 homolog (DBSS)
AA848526_PROBE1	AA848526	expressed in T-cells and eosinophils in atopic dermatitis (Hs.) (DBSS)
AA848530_PROBE1	AA848530	WD repeat domain 12
AA848534_PROBE1	AA848534	mitochondrial ribosomal protein S5 (DBSS)
AA848626_PROBE1	AA848626	transcription factor 7, T-cell specific (Mm.) (DBSS)
AA848639_PROBE1	AA848639	Vascular endothelial growth factor D precursor (VEGF-D) (Mm.) (DBSS_moderate)
AA848776_PROBE1	AA848776	tetraspanin TM4SF9 (DBSS)
AA848795_PROBE1	AA848795	cytochrome b5, outer mitochondrial membrane isoform
AA848804_PROBE1	AA848804	Transcription factor BTF3 (RNA polymerase B transcription factor 3) (DBSS) (Non-specific probe)
AA848820_PROBE1	AA848820	NAD-dependent 15-hydroxyprostaglandin dehydrogenase
AA848821_PROBE1	AA848821	Histone H1.2 (H1 VAR.1) (H1C) (Mm.) (DBSS_strong)
AA848826_PROBE1	AA848826	cancer related gene-liver 1 (Mm.) (DBSS)
AA848834_PROBE1	AA848834	dehydrodolichyl diphosphate synthase (DBSS)
AA848951_PROBE1	AA848951	ESTs
AA848958_PROBE1	AA848958	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 4
AA849028_PROBE1	AA849028	proteasome (prosome, macropain) subunit, alpha type 3
AA849031_PROBE1	AA849031	protein-tyrosine phosphatase, non-receptor type 7
AA849497_PROBE1	AA849497	Acetyl-coenzyme A synthetase, cytoplasmic (Acetate--CoA ligase) (Acyl-activating enzyme) (Acetyl-CoA synthetase) (ACS) (AceCS) (DBSS)
AA849715_PROBE1	AA849715	RNA-binding region (RNP1, RRM) containing 2; splicing factor (CC1.3); coactivator of activating protein-1 and estrogen receptors (DBSS)
AA849719_PROBE1	AA849719	ESTs
AA849729_PROBE1	AA849729	RIKEN cDNA 1110033O09 (DBSS)
AA849731_PROBE1	AA849731	family with sequence similarity 11 member A (DBSS)
AA849734_PROBE1	AA849734	RIKEN cDNA 2310065K24 (DBSS)
AA849738_PROBE1	AA849738	ESTs
AA849743_PROBE1	AA849743	myocyte induction differentiation originator (Midori-pending) (Mm.) (DBSS)
AA849752_PROBE1	AA849752	protein phosphatase 2A, regulatory subunit B (PR 53) (DBSS)
AA849756_PROBE1	AA849756	hypothetical protein FLJ21016 (Hs.) (DBSS_strong)
AA849757_PROBE1	AA849757	Activator of 90 kDa heat shock protein ATPase homolog 1 (AHA1) (Hs.) (DBSS_strong)
AA849774_PROBE1	AA849774	mannosidase, beta A, lysosomal-like (Hs.) (DBSS_strong)
AA849782_PROBE1	AA849782	expressed sequence AW209491 (DBSS)
AA849788_PROBE1	AA849788	hypothetical protein FLJ22625 (DBSS)
AA849958_PROBE1	AA849958	ubiquitin-conjugating enzyme E2 variant 2
AA849966_PROBE1	AA849966	Mpv17-like protein (DBSS)
AA849975_PROBE1	AA849975	RIKEN cDNA 1700052N19 (DBSS)
AA849987_PROBE1	AA849987	Ubiquitin carboxyl-terminal hydrolase 7 (Ubiquitin thiolesterase 7) ((DBSS)
AA849991_PROBE1	AA849991	ESTs
AA850034_PROBE1	AA850034	hypothetical protein (Mm.) (DBSS)
AA850037_PROBE1	AA850037	RIKEN cDNA 6030446I19 gene (DBSS)
AA850242_PROBE1	AA850242	ESTs
AA850288_PROBE1	AA850288	hypothetical protein CAB56184 (DBSS)
AA850317_PROBE1	AA850317	EH-domain containing 4
AA850319_PROBE1	AA850319	ESTs
AA850333_PROBE1	AA850333	ESTs
AA850347_PROBE1	AA850347	Calcium binding protein p22 (Non-specific probe)
AA850358_PROBE1	AA850358	ESTs
AA850480_PROBE1	AA850480	EST AA792894 (DBSS)
AA850487_PROBE1	AA850487	hypothetical gene supported by NM_022857 (Rn.) (DBSS_moderate)
AA850490_PROBE1	AA850490	ESTs
AA850498_PROBE1	AA850498	transcription termination factor-like protein (DBSS)
AA850505_PROBE1	AA850505	PD2 protein (DBSS)
AA850509_PROBE1	AA850509	thyroid hormone receptor interactor 13; thyroid receptor interacting protein 13 (DBSS)
AA850525_PROBE1	AA850525	ESTs
AA850531_PROBE1	AA850531	discs, large (Drosophila) homolog-associated protein 1
AA850541_PROBE1	AA850541	ESTs
AA850544_PROBE1	AA850544	Type I inositol-1,4,5-trisphosphate 5-phosphatase (5PTASE) (DBSS)
AA850551_PROBE1	AA850551	osmosis responsive factor (DBSS)
AA850576_PROBE1	AA850576	ESTs
AA850577_PROBE1	AA850577	RIKEN cDNA 2810460C24 (DBSS)
AA850725_PROBE1	AA850725	procollagen C-endopeptidase enhancer 2 (Hs.) (DBSS_moderate)
AA850728_PROBE1	AA850728	ESTs
AA850735_PROBE1	AA850735	acidic (leucine-rich) nuclear phosphoprotein 32 family, member E; leucine-rich acidic nuclear protein like (DBSS)
AA850736_PROBE1	AA850736	ESTs
AA850740_PROBE1	AA850740	cDNA sequence BC023823 (Mm.) (DBSS_strong)
AA850780_PROBE1	AA850780	trehalase (brush-border membrane glycoprotein)
AA850785_PROBE1	AA850785	2310010I22Rik protein (Rn.) (DBSS)
AA850801_PROBE1	AA850801	CGI-84 protein (DBSS)
AA850872_PROBE1	AA850872	ESTs
AA850896_PROBE1	AA850896	chromosome 4 open reading frame 1; expressed in human embryonic lung (DBSS)
AA850909_PROBE1	AA850909	poliovirus receptor homolog (DBSS)
AA850910_PROBE1	AA850910	transmembrane 4 superfamily member 6 (DBSS)
AA850987_PROBE1	AA850987	hypothetical LOC308556
AA851239_PROBE1	AA851239	EXTL2 (DBSS)
AA851241_PROBE1	AA851241	breast metastasis suppressor 1-like protein (DBSS)
AA851280_PROBE1	AA851280	Map3k7ip1 protein (DBSS)
AA851282_PROBE1	AA851282	Synovial sarcoma associated Ss18-alpha(DBSS)
AA851296_PROBE1	AA851296	bystin-like
AA851302_PROBE1	AA851302	phosphatidylserine synthase 1 (Mm.) (DBSS)
AA851305_PROBE1	AA851305	ESTs
AA851306_PROBE1	AA851306	high mobility group nucleosomal binding domain 3 isoform HMGN3a; HMGN3a,HMGN3b,TRIP7 (DBSS)
AA851327_PROBE1	AA851327	membrane protein expressed in epithelial-like lung adenocarcinoma (DBSS)
AA851369_PROBE1	AA851369	solute carrier family 31 (copper transporters), member 1
AA851370_PROBE1	AA851370	similar to Heterogeneous nuclear ribonucleoprotein A1 (Helix-destabilizing protein) (Single-strand binding protein) (hnRNP core protein A1) (Mm.) (DBSS_moderate)
AA851386_PROBE1	AA851386	breast carcinoma amplified sequence 2; spliceosome associated protein, amplified in breast cancer (DBSS)
AA851728_PROBE1	AA851728	ESTs
AA851904_PROBE1	AA851904	Putative lysophosphatidic acid acyltransferase (DBSS)
AA851914_PROBE1	AA851914	neuroblastoma RAS viral (v-ras) oncogene homolog
AA851926_PROBE1	AA851926	Probable RNA-dependent helicase p68 (DEAD-box protein p68) (DEAD-box protein 5) (DBSS)
AA851945_PROBE1	AA851945	Tetraspan NET-7 (Hs.) (DBSS_moderate)
AA851946_PROBE1	AA851946	ring finger protein 3 (Hs.) (DBSS)
AA851953_PROBE1	AA851953	NP61201
AA858505_PROBE1	AA858505	Apolipoprotein L3 (Apolipoprotein L-III) (ApoL-III) (TNF-inducible protein CG12-1) (CG12_1) (DBSS) (Non-specific probe)
AA858509_PROBE1	AA858509	mKIAA0863 protein (DBSS)
AA858518_PROBE1	AA858518	zinc RING finger protein SAG (DBSS)
AA858572_PROBE1	AA858572	Purkinje cell protein 2 - mouse (DBSS)
AA858600_PROBE1	AA858600	leucine-zipper-like transcriptional regulator, 1 (DBSS)
AA858649_PROBE1	AA858649	RIKEN cDNA 2210415M20 (DBSS)
AA858695_PROBE1	AA858695	ganglioside-induced differentiation associated protein 3 (DBSS)
AA858745_PROBE1	AA858745	signal transducer and activator of transcription 5B
AA858758_PROBE1	AA858758	9530008L14Rik protein (DBSS)
AA858786_PROBE1	AA858786	ESTs
AA858794_PROBE1	AA858794	zinc-fingers and homeoboxes 1
AA858817_PROBE1	AA858817	T46271 hypothetical protein DKFZp564P1263.1 (Hs.) (DBSS_moderate)
AA858862_PROBE1	AA858862	RIKEN cDNA 1810046J19 (DBSS) (Non-specific probe)
AA858867_PROBE1	AA858867	ESTs
AA858879_PROBE1	AA858879	26S proteasome subunit p40.5 (DBSS)
AA858900_PROBE1	AA858900	GLUT9a (DBSS)
AA858925_PROBE1	AA858925	Band 4.1-like protein 5 (DBSS)
AA858930_PROBE1	AA858930	phosphodiesterase 4B
AA859010_PROBE1	AA859010	ESTs
AA859141_PROBE1	AA859141	RIKEN cDNA 8030446C20 (DBSS)
AA859150_PROBE1	AA859150	Neurofilament triplet M protein (Mm.) (DBSS_strong)
AA859343_PROBE1	AA859343	serine/arginine-rich protein specific kinase 1 (DBSS)
AA859352_PROBE1	AA859352	CYTIDINE DEAMINASE (CYTIDINE AMINOHYDROLASE) (DBSS)
AA859508_PROBE1	AA859508	RIKEN cDNA 9330161F08 (DBSS)
AA859556_PROBE1	AA859556	beta-catenin
AA859585_PROBE1	AA859585	hypothetical LOC302941
AA859631_PROBE1	AA859631	hypothetical protein C130032F08 (DBSS)
AA859716_PROBE1	AA859716	ESTs
AA859768_PROBE1	AA859768	ESTs
AA859796_PROBE1	AA859796	adiponectin receptor 2
AA859897_PROBE1	AA859897	Sel1 (suppressor of lin-12) 1 homolog (C. elegans)
AA859922_PROBE1	AA859922	SRD5A2L (DBSS)
AA866351_PROBE1	AA866351	ESTs
AA866419_PROBE1	AA866419	platelet derived growth factor, alpha
AA866426_PROBE1	AA866426	ESTs
AA866432_PROBE1	AA866432	LOC363015
AA866477_PROBE1	AA866477	cytochrome c oxidase subunit VIIb
AA874838_PROBE1	AA874838	ESTs
AA874859_PROBE1	AA874859	vitamin K-dependent gamma-glutamyl carboxylase (AF159140) (Rn.) (DBSS)
AA874906_PROBE1	AA874906	ESTs
AA874924_PROBE1	AA874924	MD-1 (DBSS)
AA874952_PROBE1	AA874952	zinc finger protein 262; cell death inhibiting RNA (DBSS)
AA874975_PROBE1	AA874975	endothelial monocyte activating polypeptide 2
AA875011_PROBE1	AA875011	methionine aminopeptidase-like 1 (DBSS)
AA875041_PROBE1	AA875041	leucine zipper, putative tumor suppressor 1
AA875045_PROBE1	AA875045	rod cGMP phosphodiesterase delta subunit (DBSS)
AA875055_PROBE1	AA875055	COX15 gene product (DBSS)
AA875129_PROBE1	AA875129	elongation protein 4 homolog; PAX6 neighbor gene; chromosome 11 open reading frame 19 (DBSS)
AA875143_PROBE1	AA875143	KIAA1386 protein (DBSS)
AA875261_PROBE1	AA875261	ESTs
AA875301_PROBE1	AA875301	chromosome 20 open reading frame 155 (DBSS)
AA875425_PROBE1	AA875425	membrane component, chromosome 11, surface marker 1 (Hs.) (DBSS)
AA891123_PROBE1	AA891123	ESTs
AA891213_PROBE1	AA891213	diphosphoinositol polyphosphate phosphohydolase type II
AA891221_PROBE1	AA891221	RIKEN cDNA 0610007P06 (DBSS)
AA891248_PROBE1	AA891248	Aa2-258 (DBSS)
AA891447_PROBE1	AA891447	ESTs
AA891470_PROBE1	AA891470	hypothetical LOC300027
AA891535_PROBE1	AA891535	hippocampus abundant gene transcript 1; tetracycline transporter-like protein (DBSS)
AA891551_PROBE1	AA891551	hypothetical protein FLJ20989 (Hs.) (DBSS_moderate)
AA891690_PROBE1	AA891690	Tumor necrosis factor ligand superfamily member 13 (A proliferation-inducing ligand) (APRIL) (DBSS)
AA891733_PROBE1	AA891733	chromosome 18 open reading frame 1 (Hs.) (DBSS)
AA891734_PROBE1	AA891734	tumor endothelial marker 6; thyroid specific PTB domain protein; tensin 3 (DBSS)
AA891742_PROBE1	AA891742	cDNA sequence BC019806 (DBSS)
AA891746_PROBE1	AA891746	endothelial differentiation-related factor 1
AA891774_PROBE1	AA891774	RIKEN cDNA 1810013B01 (DBSS)
AA891790_PROBE1	AA891790	RIKEN cDNA 2310005G07 (Mm.) (DBSS)
AA891818_PROBE1	AA891818	gamma-SNAP-associated factor 1; Rab11-interacting protein (DBSS)
AA891821_PROBE1	AA891821	Unknown (protein for MGC:72616) (Non-specific probe)
AA891826_PROBE1	AA891826	tumor-associated calcium signal transducer 2 (Hs.) (DBSS)
AA891830_PROBE1	AA891830	COMM domain containing 10
AA891834_PROBE1	AA891834	type IV collagen alpha 5 chain (DBSS)
AA891839_PROBE1	AA891839	Mrpl50 protein (DBSS)
AA891859_PROBE1	AA891859	ESTs
AA891860_PROBE1	AA891860	1110054L24Rik protein (DBSS)
AA891872_PROBE1	AA891872	nicotinamide nucleotide transhydrogenase
